"Title","URL","image URL","image2 URL","Price1","Price2","Price3","desc1","desc2","desc3","Item ID","Type","Brand","Price level","Tag ID","Gender","online Date","offline Date","Stock","Status"
"Post Blueberry Cereal","http://www.fieldschina.com/en/item-1011.html","http://www.fieldschina.com/image/product/201102/51fbe6e1687b2783639.jpg","","48","42","0","Serving Size: 40g&  & &  Calories: 220& &  & &  Fat: 3g

& 

Plump juicy blueberries, sweet almonds, multi-grain flakes, and crunchy granola clusters make this Post breakfast cereal delicious. Nine essential vitamins and minerals, zero cholesterol, low fat, and 11 grams of whole grain per serving make it nutritious too.
","","","1011","Cereals &amp; Granola","Cereals &amp; Granola","","","","","","50000","1"
"Post Cranberry Almond Crunch Cereal","http://www.fieldschina.com/en/item-1012.html","http://www.fieldschina.com/image/product/201102/51fbe6e1705ab647902.jpg","","48","48","0","Serving Size: 30g& & & &  Calories: 200& & & &  Fat: 3g

& 

Inspired by the flavor of cranberry-almond muffins, this Post cereal combines the tangy sweetness of Ocean Spray cranberries with crunchy almonds and big whole grain flakes.
","","","1012","Cereals &amp; Granola","Cereals &amp; Granola","","","","","","50000","1"
"Post Banana Nut Crunch Cereal","http://www.fieldschina.com/en/item-1015.html","http://www.fieldschina.com/image/product/201102/51fbe6e178403825044.jpg","","48","48","0","The natural flavor in this Post breakfast cereal comes from real bananas baked into multi-grain clusters. Walnuts, whole grains, and bananas provide 40 grams of whole grain per serving (83% of the day's recommended whole grain intake), four grams of fiber, and 13 essential vitamins and minerals.
","","","1015","Cereals &amp; Granola","Cereals &amp; Granola","","","","","","50000","1"
"Post Raisins, Dates &amp; Pecans Cereal","http://www.fieldschina.com/en/item-1016.html","http://www.fieldschina.com/image/product/201102/51fbe6e17ffec341859.jpg","","48","48","0","Great Grains is Post's most natural cereal, using simpler ingredients like whole grain flakes from actual wheatberries, (rather than wheat ground into flour and stamped into flakes). Keeping the grains whole means that they are richer in nutritional value. Great Grains Raisins, Dates, &amp; Pecans adds naturally nutritious raisins and dates, pecans, whole-grain flakes, and crunchy multi-grain clusters for a healthy breakfast cereal.
","","","1016","Cereals &amp; Granola","Cereals &amp; Granola","","","","","","50000","1"
"Del Monte Corn","http://www.fieldschina.com/en/item-1028.html","http://www.fieldschina.com/image/product/201102/51fbe6e19f5b7109755.jpg","","12","12","0","Tired of mushy Chinese corn? Del Monte's crisp whole kernel canned corn makes a great alternative. Fresh cut from sweet, golden corn picked at the height of ripeness, it's much more flavorful than frozen corn, doesn't require any additional preparation (unless you'd like to jazz it up), and makes a winning side dish with nothing more than a pat of butter, salt, pepper, and a minute or two in the microwave.
","","","1028","Canned Goods","Canned Goods","","","","","","50000","1"
"Tabasco Red Pepper Sauce","http://www.fieldschina.com/en/item-1036.html","http://www.fieldschina.com/image/product/201102/51fbe6e1bf740823658.jpg","","16","16","0","Direct from Avery Island, Louisiana, Tabasco hot sauce is an American icon. Made with only three ingredients -- fully aged red peppers, Avery Island salt and high quality distilled vinegar -- this simple recipe has hooked just about everyone who's ever picked up a bottle. Pizza, eggs, seafood, pasta, Chinese food, Western food... if you like it hot, there's almost nothing Tabasco doesn't improve.
","","","1036","Condiments &amp; Sauces","Condiments &amp; Sauces","","","","","","50000","1"
"K¨¹hne Red Wine Vinegar","http://www.fieldschina.com/en/item-1038.html","http://www.fieldschina.com/image/product/201102/51fbe6e1cf026144874.jpg","","30","30","0","K¨¹hne's Aceto di Vino Rosso is an exceptional vinegar made from the finest Italian red wines. Its characteristically strong and spicy flavor is developed during its 6 months of maturation. The perfect choice for preparing dark sauces, dark meats, and salads.
","","","1038","Vinegar","Vinegar","","","","","","50000","1"
"Ambrosia Sour Cream","http://www.fieldschina.com/en/item-1044.html","http://www.fieldschina.com/image/product/201406/1404127803971060.jpg","","35","35","0","Ambrosia, a local dairy company overseen by a New Zealand expert, makes this sour cream using fresh local milk. Naturally fermented over 12 hours, it has a mild tang and a low fat content (25%). Perfect to add some cooling, smooth creaminess to a big plate of nachos and or batch of spicy Mexican chilli.
","","","1044","Cream & Butter","Cream & Butter","","","","","","50000","1"
"Asahi Pure Milk","http://www.fieldschina.com/en/item-106.html","http://www.fieldschina.com/image/product/201405/1400246186575206.jpg","","26","26","0","Safe, fresh& milk& from Japanese-owned dairy farms in Shandong province. Packaged on-site to ensure Asahi's commitment to the highest quality.
","","","106","Milk","Milk","","","","","","50000","1"
"KOH Coconut Water","http://www.fieldschina.com/en/item-1082.html","http://www.fieldschina.com/image/product/201403/1394721330652171.jpg","","27","27","0","A natural isotonic that replenishes the body with electrolytes, potassium and necessary fluids. KOH is ¡°Right out of the Coconut¡±. It¡¯s as fresh as you can get without actually drinking from the coconut. KOH Coconut Water is minimally processed and completely natural with no additives.
","","","1082","Fresh Juices","Fresh Juices","","","","","","50000","1"
